rho_penalty_weight,train_MSE,train_MAE,train_RE,test_MSE,test_MAE,test_RE
1,0.0001,0.0031,3.72,0.0015,0.0217,12.78
2,0.0001,0.0033,3.75,0.0013,0.0184,10.38
3,0.0001,0.0033,3.76,0.0013,0.0181,10.14
4,0.0001,0.0033,3.76,0.0013,0.0181,10.15
5,0.0001,0.0033,3.76,0.0013,0.0181,10.15
6,0.0001,0.0033,3.83,0.0012,0.0163,8.74
7,0.0001,0.0033,3.83,0.0012,0.0163,8.74
8,0.0001,0.0033,3.83,0.0012,0.0163,8.74
9,0.0001,0.0033,3.83,0.0012,0.0163,8.74
10,0.0001,0.0033,3.83,0.0012,0.0163,8.74
11,0.0001,0.0033,3.83,0.0012,0.0163,8.74
12,0.0001,0.0033,3.83,0.0012,0.0163,8.74
13,0.0001,0.0033,3.83,0.0012,0.0163,8.74
14,0.0001,0.0033,3.83,0.0012,0.0163,8.74
15,0.0001,0.0033,3.83,0.0012,0.0163,8.74
16,0.0001,0.0033,3.83,0.0012,0.0163,8.74
17,0.0001,0.0033,3.83,0.0012,0.0163,8.74
18,0.0001,0.0033,3.83,0.0012,0.0163,8.74
19,0.0001,0.0033,3.83,0.0012,0.0163,8.74
20,0.0001,0.0033,3.83,0.0012,0.0163,8.74
